로우데이터 식별자,수집 출처,카테고리,외부 상품 식별자,상품 이미지 URL,상품 상세 URL,상품명,판매 몰 이름,판매가,할인율(%),임의 정가,수집 시각,색깔데이터 식별자,원본 색상명,클라이언트 반환용 색상명,브랜드,기본 배송비,무료 배송 조건
451,soozip,FURNITURE,748,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20260110/66f4dc75231936ffbca1b9ff12579e2a.jpg,https://soozip.co.kr/product/마켓비-캐비넷-옷장-760/748/category/75/display/1/,마켓비 캐비넷 옷장 760,SOOZIP,189000.0,39,3098361,2026-01-27 18:46:03.121802,23,레드,,자니즈,20000,
451,soozip,FURNITURE,748,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20260110/66f4dc75231936ffbca1b9ff12579e2a.jpg,https://soozip.co.kr/product/마켓비-캐비넷-옷장-760/748/category/75/display/1/,마켓비 캐비넷 옷장 760,SOOZIP,189000.0,39,3098361,2026-01-27 18:46:03.121802,23,스카이,,자니즈,20000,
452,soozip,FURNITURE,740,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20260107/8163a204043b98acb4abedcb4534aea7.jpg,https://soozip.co.kr/product/파로마-리브-아쿠아텍스-패브릭-헤드틸팅-소파/740/category/75/display/1/,파로마 리브 아쿠아텍스 패브릭 헤드틸팅 소파,SOOZIP,459000.0,32,6750001,2026-01-27 18:46:03.121802,24,아이보리,,리샘,35000,
453,soozip,FURNITURE,739,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20260107/00809c266f091fd0f308b1271952ab2d.jpg,https://soozip.co.kr/product/파로마-쿠시아-2인용-3인용-소파/739/category/75/display/1/,파로마 쿠시아 2인용 3인용 소파,SOOZIP,369000.0,19,4555556,2026-01-27 18:46:03.121802,25,브라운,,리샘,45000,
454,soozip,FURNITURE,734,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20260102/a63f922b8f4288aecd3562964927fadb.jpg,https://soozip.co.kr/product/감각-와이드아치형-화장대-벽거울-2colors/734/category/75/display/1/,감각 와이드아치형 화장대 벽거울 (2colors),SOOZIP,84000.0,0,840000,2026-01-27 18:46:03.121802,26,화이트,,트루베퍼니쳐,10000,
454,soozip,FURNITURE,734,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20260102/a63f922b8f4288aecd3562964927fadb.jpg,https://soozip.co.kr/product/감각-와이드아치형-화장대-벽거울-2colors/734/category/75/display/1/,감각 와이드아치형 화장대 벽거울 (2colors),SOOZIP,84000.0,0,840000,2026-01-27 18:46:03.121802,26,오크,,트루베퍼니쳐,10000,
455,soozip,FURNITURE,733,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20260102/42a0b79263abdc0befbb18f83b0a7a39.jpg,https://soozip.co.kr/product/감각-아치형-거울-화장대-탁상거울-벽거울-2colors/733/category/75/display/1/,감각 아치형 거울 화장대 탁상거울 벽거울 (2colors),SOOZIP,59000.0,0,590000,2026-01-27 18:46:03.121802,27,화이트,,트루베퍼니쳐,10000,
455,soozip,FURNITURE,733,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20260102/42a0b79263abdc0befbb18f83b0a7a39.jpg,https://soozip.co.kr/product/감각-아치형-거울-화장대-탁상거울-벽거울-2colors/733/category/75/display/1/,감각 아치형 거울 화장대 탁상거울 벽거울 (2colors),SOOZIP,59000.0,0,590000,2026-01-27 18:46:03.121802,27,오크,,트루베퍼니쳐,10000,
456,soozip,FURNITURE,731,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20260102/859462d43916e27a61662d5fe5952a7d.jpg,https://soozip.co.kr/product/감각-600-led조명-벽난로-수납콘솔-선반형/731/category/75/display/1/,감각 600 LED조명 벽난로 수납콘솔 선반형,SOOZIP,129000.0,41,2186441,2026-01-27 18:46:03.121802,28,화이트,,트루베퍼니쳐,17000,
456,soozip,FURNITURE,731,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20260102/859462d43916e27a61662d5fe5952a7d.jpg,https://soozip.co.kr/product/감각-600-led조명-벽난로-수납콘솔-선반형/731/category/75/display/1/,감각 600 LED조명 벽난로 수납콘솔 선반형,SOOZIP,129000.0,41,2186441,2026-01-27 18:46:03.121802,28,월넛,,트루베퍼니쳐,17000,
