id,fetched_at,product_id,product_image_url,product_mall_name,product_name,product_site_url,source,category,discount_price,discount_rate,list_price,base_shipping_fee,brand,free_shipping_condition,furniture_tag_id
540,2026-01-27 18:46:03.121802,619,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20251120/4c394b8c739865ffb5a72f5d9c9091f4.jpg,SOOZIP,소프시스 메이저 데스크 책상 800x600,https://soozip.co.kr/product/소프시스-메이저-데스크-책상-800x600/619/category/75/display/1/,soozip,FURNITURE,39900,34,604546,0,소프시스,,123
541,2026-01-27 18:46:03.121802,618,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20251120/d03b85c169d90cd0d57e63f6e3e08328.jpg,SOOZIP,소프시스 메이저 데스크 책상 1400x600,https://soozip.co.kr/product/소프시스-메이저-데스크-책상-1400x600/618/category/75/display/1/,soozip,FURNITURE,55900,0,559000,0,소프시스,,124
542,2026-01-27 18:46:03.121802,617,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20251120/a494193883ecd91ae4d40ad7c334f3e6.jpg,SOOZIP,소프시스 메이저 데스크 책상 1200x600,https://soozip.co.kr/product/소프시스-메이저-데스크-책상-1200x600/617/category/75/display/1/,soozip,FURNITURE,50900,3,524743,0,소프시스,,125
543,2026-01-27 18:46:03.121802,616,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20251118/505ed9d326fd1401d435c2bb960c9fe7.jpg,SOOZIP,소프시스 포인트 반타원형 테이블 1200,https://soozip.co.kr/product/소프시스-포인트-반타원형-테이블-1200/616/category/75/display/1/,soozip,FURNITURE,89900,0,899000,0,소프시스,,126
544,2026-01-27 18:46:03.121802,615,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20251118/dee0e56a7536d7c78cf0f902c3dc6ed2.jpg,SOOZIP,소프시스 포인트 반타원형 테이블 1000,https://soozip.co.kr/product/detail.html?product_no=615&cate_no=75&display_group=1,soozip,FURNITURE,81900,45,1489091,0,소프시스,,127
545,2026-01-27 18:46:03.121802,614,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20251118/5eeff0b36d7b7e7181b307be77ba8a28.jpg,SOOZIP,소프시스 메이저 멀티 사이드테이블,https://soozip.co.kr/product/소프시스-메이저-멀티-사이드테이블/614/category/75/display/1/,soozip,FURNITURE,32900,44,587500,0,소프시스,,128
546,2026-01-27 18:46:03.121802,613,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20251118/046da75544ff4b8c4d41e63aafd5fb18.jpg,SOOZIP,소프시스 메이저 마이 테이블 900,https://soozip.co.kr/product/소프시스-메이저-마이-테이블-900/613/category/75/display/1/,soozip,FURNITURE,38900,0,389000,0,소프시스,,129
547,2026-01-27 18:46:03.121802,612,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20251118/c1679919fcb0e00f2906179cf155e17e.jpg,SOOZIP,소프시스 메이저 마이 테이블 600,https://soozip.co.kr/product/소프시스-메이저-마이-테이블-600/612/category/75/display/1/,soozip,FURNITURE,29900,0,299000,0,소프시스,,130
548,2026-01-27 18:46:03.121802,611,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20251118/0633caf72eb20c3adb59343db114cdba.jpg,SOOZIP,소프시스 메이저 마이 테이블 400,https://soozip.co.kr/product/소프시스-메이저-마이-테이블-400/611/category/75/display/1/,soozip,FURNITURE,26900,40,448334,0,소프시스,,131
549,2026-01-27 18:46:03.121802,610,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20251118/f438f130e3f569c12e6a190a224ef363.jpg,SOOZIP,소프시스 포인트 식탁 테이블 1600,https://soozip.co.kr/product/소프시스-포인트-식탁-테이블-1600/610/category/75/display/1/,soozip,FURNITURE,104900,0,1049000,0,소프시스,,132
550,2026-01-27 18:46:03.121802,609,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20251118/e7269875087dde7c2fb9725b5d3b2cc1.jpg,SOOZIP,소프시스 포인트 식탁 테이블 1400,https://soozip.co.kr/product/소프시스-포인트-식탁-테이블-1400/609/category/75/display/1/,soozip,FURNITURE,97900,41,1659323,0,소프시스,,133
551,2026-01-27 18:46:03.121802,608,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20251118/4e9df64e712544b365424c916314f81d.jpg,SOOZIP,소프시스 포인트 식탁 테이블 1200,https://soozip.co.kr/product/소프시스-포인트-식탁-테이블-1200/608/category/75/display/1/,soozip,FURNITURE,85900,0,859000,0,소프시스,,1
552,2026-01-27 18:46:03.121802,607,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20251118/133b6db577a8fd99c8b8bd9a55d56dc7.jpg,SOOZIP,소프시스 올리브 서브 사이드테이블,https://soozip.co.kr/product/소프시스-올리브-서브-사이드테이블/607/category/75/display/1/,soozip,FURNITURE,38900,55,864445,0,소프시스,,2
553,2026-01-27 18:46:03.121802,605,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20251118/963c5495d3190eafb2a08496e495cc1a.jpg,SOOZIP,룸앤홈 페블 우드 스툴 4color,https://soozip.co.kr/product/룸앤홈-페블-우드-스툴-4color/605/category/75/display/1/,soozip,FURNITURE,19900,48,382693,5000,룸앤홈,,3
554,2026-01-27 18:46:03.121802,604,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20251118/dcf61487e88db01bdb0d8f05e86c5b32.jpg,SOOZIP,룸앤홈 오닉스 유리 폴딩 테이블 3color,https://soozip.co.kr/product/룸앤홈-오닉스-유리-폴딩-테이블-3color/604/category/75/display/1/,soozip,FURNITURE,24900,0,249000,5000,룸앤홈,,4
